5000,5000,5000
5000,5010,5000
5000,5020,5000
5000,5030,5000
5000,5040,5000
5000,5050,5000
5000,5060,5000
5000,5070,5000
5000,5080,5000
5000,5090,5000
5000,5100,5000
5000,5110,5000
5000,5120,5000
5000,5130,5000
5000,5140,5000
5000,5150,5000
5000,5160,5000
5000,5170,5000
5000,5180,5000
5000,5190,5000
5000,5200,5000
5000,5210,5000
5000,5220,5000
5000,5230,5000
5000,5240,5000
5000,5250,5000
5000,5260,5000
5000,5260,5010
5000,5270,5010
5000,5270,5020
5000,5270,5030
5000,5280,5030
5000,5280,5040
5000,5290,5040
5000,5290,5050
5000,5300,5050
5000,5300,5060
5000,5310,5060
5000,5310,5070
5000,5320,5070
5000,5320,5080
5000,5330,5080
5000,5330,5090
5000,5340,5090
5010,5340,5090
5010,5340,5100
5020,5340,5100
5020,5350,5100
5020,5350,5110
5030,5350,5110
5030,5360,5110
5040,5360,5110
5040,5360,5120
5040,5370,5120
5050,5370,5120
5050,5370,5130
5050,5380,5130
5050,5380,5140
5050,5390,5140
5060,5390,5140
5060,5400,5140
5060,5400,5150
5070,5400,5150
5070,5410,5150
5070,5420,5150
5080,5420,5150
5080,5430,5150
5080,5430,5160
5080,5440,5160
5090,5440,5160
5090,5450,5160
5090,5460,5160
5100,5460,5160
5100,5470,5160
5110,5470,5160
5110,5480,5160
5120,5480,5160
5120,5490,5160
5130,5490,5160
5130,5500,5160
5130,5500,5170
5140,5500,5170
5140,5510,5170
5150,5510,5170
5150,5520,5170
5160,5520,5170
5160,5520,5180
5170,5520,5180
5170,5520,5190
5170,5530,5190
5180,5530,5190
5180,5530,5200
5190,5530,5200
5190,5530,5210
5200,5530,5210
5200,5530,5220
5210,5530,5220
5210,5530,5230
5220,5530,5230
5220,5530,5240
5220,5540,5240
5230,5540,5240
5230,5540,5250
5230,5550,5250
5240,5550,5250
5240,5550,5260
5250,5550,5260
5250,5560,5260
5260,5560,5260
5260,5560,5270
5260,5570,5270
5270,5570,5270
5280,5570,5270
5280,5580,5270
5280,5580,5280
5290,5580,5280
5290,5590,5280
5290,5590,5290
5300,5590,5290
5300,5600,5290
5300,5600,5300
5310,5600,5300
5310,5600,5310
5310,5610,5310
5320,5610,5310
5320,5610,5320
5320,5620,5320
5330,5620,5320
5330,5620,5330
5330,5630,5330
5340,5630,5330
5340,5630,5340
5340,5640,5340
5340,5640,5350
5350,5640,5350
5350,5650,5350
5350,5650,5360
5360,5650,5360
5360,5650,5370
5360,5660,5370
5370,5660,5370
5370,5660,5380


